"Date","Price","Open","High","Low","Vol.","Change %"
"16-12-2021","86.2700","86.1740","86.5610","85.9360","70.30K","0.14%"
"15-12-2021","86.1500","85.6190","86.2775","85.5770","104.26K","0.64%"
"14-12-2021","85.5980","85.5025","85.9735","85.4255","158.56K","0.14%"
"13-12-2021","85.4800","85.6855","85.7160","85.2675","80.41K","-0.16%"
"10-12-2021","85.6150","85.3740","85.7300","85.2170","94.04K","0.31%"
"09-12-2021","85.3480","85.5005","85.6390","85.2420","86.64K","-0.14%"
"08-12-2021","85.4710","84.9630","85.6300","84.9440","147.35K","0.63%"
"07-12-2021","84.9360","85.0985","85.2500","84.7010","161.34K","-0.17%"
"06-12-2021","85.0780","85.1805","85.3130","84.8685","95.89K","-0.03%"
"03-12-2021","85.1010","84.7445","85.2155","84.6235","84.17K","0.46%"
"02-12-2021","84.7110","84.9240","85.1805","84.6030","90.50K","-0.22%"
"01-12-2021","84.8970","85.1560","85.1895","84.6615","123.86K","-0.26%"
"30-11-2021","85.1220","84.7505","85.5245","84.4740","133.33K","0.49%"
"29-11-2021","84.7050","84.8425","84.9435","84.3390","88.31K","-0.26%"
"26-11-2021","84.9230","83.5055","85.0595","83.4795","122.93K","1.76%"
"25-11-2021","83.4570","83.5770","83.6885","83.4625","82.67K","-0.09%"
"24-11-2021","83.5280","83.7380","83.7965","83.3030","86.38K","-0.21%"
"23-11-2021","83.7040","83.6540","83.9645","83.6075","101.63K","0.11%"
"22-11-2021","83.6120","83.9560","84.0540","83.5475","135.04K","-0.35%"
"19-11-2021","83.9070","84.3335","84.3615","83.5310","65.35K","-0.48%"
"18-11-2021","84.3130","84.0495","84.4650","83.8480","107.54K","0.34%"
"17-11-2021","84.0300","84.2925","84.3570","83.9090","91.28K","-0.29%"
"16-11-2021","84.2720","84.5830","84.8530","84.2015","82.36K","-0.32%"
"15-11-2021","84.5420","85.1425","85.3175","84.4680","73.08K","-0.68%"
"12-11-2021","85.1220","85.1175","85.3170","84.9555","72.93K","0.06%"
"11-11-2021","85.0680","85.4435","85.5720","85.0160","58.48K","-0.38%"
"10-11-2021","85.3940","85.9870","86.1865","85.3170","84.72K","-0.67%"
"09-11-2021","85.9700","85.6670","86.0365","85.5750","64.55K","0.39%"
"08-11-2021","85.6330","85.7280","85.8745","85.5315","73.82K","-0.18%"
"05-11-2021","85.7900","86.1325","86.1395","85.4555","127.27K","-0.38%"
"04-11-2021","86.1200","86.4500","86.5000","85.8895","149.63K","-0.36%"
"03-11-2021","86.4330","86.4950","86.5660","86.1210","162.18K","-0.04%"
"02-11-2021","86.4690","86.8710","86.9105","86.3185","142.04K","-0.42%"
"01-11-2021","86.8350","86.6175","86.9130","86.5420","140.05K","0.26%"
"29-10-2021","86.6100","87.3600","87.4840","86.5150","134.14K","-0.83%"
"28-10-2021","87.3390","87.1210","87.4420","86.6650","144.15K","0.27%"
"27-10-2021","87.1040","86.9065","87.2670","86.8075","127.46K","0.26%"
"26-10-2021","86.8740","87.0780","87.2315","86.7735","110.37K","-0.22%"
"25-10-2021","87.0650","87.3250","87.5620","87.0690","112.18K","-0.32%"
"22-10-2021","87.3460","87.0435","87.3665","86.8920","64.42K","0.39%"
"21-10-2021","87.0060","87.1535","87.3630","86.9580","67.92K","-0.13%"
"20-10-2021","87.1230","87.3910","87.5610","86.9675","64.19K","-0.27%"
"19-10-2021","87.3570","87.3265","87.6350","87.2580","56.00K","0.08%"
"18-10-2021","87.2890","87.0240","87.5510","86.9075","85.42K","0.33%"
"15-10-2021","87.0000","86.9865","87.1680","86.8830","79.97K","0.08%"
"14-10-2021","86.9270","87.3025","87.5070","86.9325","52.89K","-0.40%"
"13-10-2021","87.2720","87.0220","87.3520","86.8855","87.78K","0.32%"
"12-10-2021","86.9920","87.1275","87.5040","86.8900","55.78K","-0.10%"
"11-10-2021","87.0750","86.9870","87.4080","86.8310","68.28K","0.22%"
"08-10-2021","86.8820","86.4305","86.9850","86.4305","58.95K","0.56%"
"07-10-2021","86.4000","86.4125","86.6025","86.3360","65.86K","0.01%"
"06-10-2021","86.3900","86.5180","86.6200","86.2885","74.29K","-0.05%"
"05-10-2021","86.4370","86.6930","86.6970","86.2990","73.69K","-0.24%"
"04-10-2021","86.6480","85.9585","86.7050","85.9385","55.38K","0.82%"
"01-10-2021","85.9470","85.9035","86.1085","85.7590","56.98K","0.07%"
"30-09-2021","85.8890","86.1560","86.3380","85.7555","78.60K","-0.27%"
"29-09-2021","86.1230","86.6875","86.7470","86.1040","72.10K","-0.62%"
"28-09-2021","86.6610","86.3455","86.8175","86.2310","79.77K","0.40%"
"27-09-2021","86.3180","86.5470","86.5765","86.1300","65.13K","-0.17%"
"24-09-2021","86.4650","86.6385","86.7510","86.3825","79.99K","-0.17%"
"23-09-2021","86.6120","86.2720","86.7270","86.2610","76.31K","0.43%"
"22-09-2021","86.2430","86.4735","86.7950","86.2580","79.32K","-0.23%"
"21-09-2021","86.4450","86.3650","86.5730","86.2975","72.72K","0.11%"
"20-09-2021","86.3500","86.4590","86.5135","86.1940","74.11K","0.01%"
"17-09-2021","86.3430","86.5390","86.6565","86.3380","71.54K","-0.24%"
"16-09-2021","86.5480","86.7825","86.8925","86.3940","96.79K","-0.25%"
"15-09-2021","86.7690","86.9470","87.1235","86.7320","71.93K","-0.16%"
"14-09-2021","86.9100","86.8950","87.1490","86.8020","74.12K","0.06%"
"13-09-2021","86.8600","86.8580","86.9740","86.6625","56.41K","0.01%"
"10-09-2021","86.8530","86.9750","87.0665","86.7835","68.09K","-0.10%"
"09-09-2021","86.9370","87.2045","87.2830","86.8220","66.76K","-0.24%"
"08-09-2021","87.1430","86.9630","87.3715","86.8945","85.10K","0.24%"
"07-09-2021","86.9380","86.7440","87.2305","86.7255","77.40K","0.25%"
"06-09-2021","86.7230","86.7135","86.8055","86.6245","51.96K","0.01%"
"03-09-2021","86.7170","86.6910","86.9800","86.5890","88.97K","0.06%"
"02-09-2021","86.6650","86.4340","86.7090","86.3605","67.08K","0.30%"
"01-09-2021","86.4060","86.1550","86.5550","86.0130","80.95K","0.32%"
"31-08-2021","86.1290","86.4705","86.7375","86.0525","75.30K","-0.37%"
"30-08-2021","86.4480","86.6490","86.8515","86.3600","58.01K","-0.23%"
"27-08-2021","86.6430","87.1470","87.2935","86.4435","117.00K","-0.55%"
"26-08-2021","87.1260","87.2500","87.4300","87.0595","78.38K","-0.12%"
"25-08-2021","87.2270","87.1400","87.3940","87.0045","79.24K","0.11%"
"24-08-2021","87.1290","87.0790","87.2495","86.9520","49.81K","0.10%"
"23-08-2021","87.0390","86.9475","87.1520","86.8925","57.98K","0.10%"
"20-08-2021","86.9560","86.8390","87.0385","86.7420","62.61K","0.16%"
"19-08-2021","86.8200","87.0010","87.0860","86.7340","78.31K","-0.19%"
"18-08-2021","86.9820","87.0930","87.2190","86.8515","72.93K","-0.11%"
"17-08-2021","87.0800","87.3425","87.5800","87.0750","68.67K","-0.30%"
"16-08-2021","87.3380","87.5610","87.6165","87.2990","68.70K","-0.23%"
"13-08-2021","87.5350","87.1565","87.6465","87.1440","64.49K","0.43%"
"12-08-2021","87.1580","87.1690","87.2725","86.9710","75.99K","0.01%"
"11-08-2021","87.1510","87.2380","87.3035","87.0425","68.43K","-0.08%"
"10-08-2021","87.2170","87.4340","87.4525","87.1290","114.45K","-0.23%"
"09-08-2021","87.4170","87.3235","87.5195","87.1715","79.13K","0.13%"
